   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.82493,             0.56482,             0.59952,             0.32098,            0.041167,            0.025192,           0.0085694,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.80857,             0.54647,             0.58205,             0.30687,            0.041976,            0.025599,           0.0086387,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                 0.1,                   3
             0.81999,             0.56122,               0.596,             0.31603,            0.041277,             0.02519,           0.0084875,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,             0.01041,             0.54703,             0.27739,                   0,             0.04591,             0.75544,                   0,                   0,                   0,                 0.5,             0.85834,             0.04266,                   0,                   3
             0.83252,             0.56883,             0.60788,             0.31817,              0.0414,             0.02522,           0.0084984,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,              0.0188,               0.704,                0.36,                   0,              0.0902,               0.491,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.80857,             0.54647,             0.58205,             0.30687,            0.041976,            0.025599,           0.0086387,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.9,                   0,                   0,                   0,                 0.5,                   1,                 0.1,                   0,                   3
             0.81918,             0.51528,             0.54943,             0.28726,            0.045651,            0.032328,            0.010034,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.77167,             0.50327,             0.52255,              0.2587,            0.046848,            0.026797,           0.0089547,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.028856,             0.69622,             0.86568,              4.7058,             0.57896,             0.57329,              9.4769,          0.00020903,             0.44766,             0.18896,             0.99223,           0.0056154,             0.85756,                   3
             0.75651,             0.46358,              0.4958,             0.20537,            0.051726,            0.028669,           0.0098309,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.059821,             0.12171,             0.29759,              25.252,             0.65993,             0.63214,              8.4295,          0.00060614,             0.46856,              0.4369,             0.46616,            0.074555,             0.34971,                   3
             0.73196,             0.47883,             0.48058,             0.20849,            0.051589,            0.027721,           0.0095876,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0064307,             0.61826,             0.67747,              41.958,             0.27175,             0.63297,              1.3514,          0.00015088,             0.08312,             0.41292,             0.84071,             0.29185,             0.49992,                   3
             0.73213,             0.45728,             0.46699,             0.21044,            0.050471,            0.027768,           0.0094429,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.065175,             0.29916,             0.65783,              12.654,             0.70937,             0.69374,               4.979,          0.00044692,             0.36244,             0.60034,             0.47508,             0.63543,             0.93354,                   3
